epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.788577,0.176984,1.769744,0.174074,0.01
2,1.764817,0.190476,1.755757,0.192593,0.01
3,1.754754,0.211905,1.747285,0.351852,0.01
4,1.737515,0.226984,1.724795,0.237037,0.01
5,1.721499,0.261905,1.711385,0.325926,0.01
6,1.696283,0.270635,1.691792,0.303704,0.01
7,1.67187,0.294444,1.677373,0.251852,0.01
8,1.665397,0.284127,1.649372,0.311111,0.01
9,1.650417,0.314286,1.641467,0.296296,0.01
10,1.601952,0.345238,1.614059,0.3,0.01
11,1.588247,0.32381,1.560189,0.414815,0.01
12,1.574118,0.318254,1.543317,0.425926,0.01
13,1.549429,0.351587,1.544139,0.348148,0.01
14,1.547331,0.368254,1.482476,0.440741,0.01
15,1.502534,0.361111,1.512665,0.366667,0.01
16,1.52639,0.362698,1.583557,0.322222,0.01
17,1.56204,0.340476,1.473056,0.407407,0.01
18,1.495549,0.370635,1.482482,0.462963,0.01
19,1.532535,0.350794,1.454677,0.451852,0.01
20,1.444455,0.396825,1.444736,0.462963,0.01
