epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.795455,0.18254,1.79008,0.266667,0.001
2,1.788832,0.206349,1.785317,0.174074,0.001
3,1.78604,0.19127,1.781446,0.166667,0.001
4,1.780966,0.188889,1.777725,0.166667,0.001
5,1.777058,0.180159,1.774149,0.166667,0.001
6,1.772661,0.186508,1.770636,0.166667,0.001
7,1.766411,0.195238,1.767748,0.174074,0.001
8,1.765525,0.173016,1.765473,0.17037,0.001
9,1.756453,0.197619,1.762178,0.17037,0.001
10,1.759325,0.198413,1.759807,0.185185,0.001
11,1.755598,0.199206,1.756535,0.185185,0.001
12,1.759216,0.194444,1.75417,0.185185,0.001
13,1.751972,0.201587,1.751375,0.192593,0.001
14,1.756447,0.204762,1.749219,0.2,0.001
15,1.747043,0.223016,1.746904,0.2,0.001
16,1.739717,0.233333,1.743723,0.203704,0.001
17,1.745262,0.222222,1.739823,0.237037,0.001
18,1.733595,0.238889,1.73819,0.222222,0.001
19,1.736928,0.223016,1.733905,0.22963,0.001
20,1.729007,0.261111,1.730461,0.240741,0.001
