epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.779675,0.162698,1.765706,0.192593,0.01
2,1.755364,0.184127,1.740999,0.207407,0.01
3,1.748176,0.227778,1.725785,0.244444,0.01
4,1.718789,0.25873,1.709424,0.244444,0.01
5,1.708598,0.256349,1.700156,0.344444,0.01
6,1.676726,0.302381,1.659179,0.314815,0.01
7,1.624345,0.322222,1.587608,0.318519,0.01
8,1.577085,0.346032,1.627528,0.311111,0.01
9,1.537665,0.346825,1.537193,0.37037,0.01
10,1.511488,0.369841,1.499263,0.4,0.01
11,1.522855,0.365873,1.626595,0.374074,0.01
12,1.546726,0.35,1.554064,0.3,0.01
13,1.466447,0.378571,1.45702,0.355556,0.01
14,1.483009,0.374603,1.446803,0.466667,0.01
15,1.480344,0.380159,1.396586,0.455556,0.01
16,1.426934,0.40873,1.322016,0.537037,0.01
17,1.417413,0.398413,1.32125,0.511111,0.01
18,1.405967,0.419048,1.421415,0.477778,0.01
19,1.34404,0.442063,1.366946,0.474074,0.01
20,1.4362,0.396032,1.408052,0.42963,0.005
21,1.376285,0.434127,1.309758,0.47037,0.005
22,1.387581,0.419048,1.444827,0.355556,0.005
23,1.447786,0.379365,1.298865,0.507407,0.005
24,1.294156,0.469841,1.262748,0.466667,0.005
25,1.274061,0.465079,1.393785,0.440741,0.005
26,1.292316,0.463492,1.233534,0.514815,0.005
27,1.241372,0.474603,1.244052,0.485185,0.005
28,1.231994,0.477778,1.245851,0.477778,0.005
29,1.22647,0.470635,1.193373,0.525926,0.005
30,1.207809,0.501587,1.16873,0.485185,0.005
31,1.234283,0.488889,1.190476,0.5,0.005
32,1.286106,0.446825,1.206773,0.503704,0.005
33,1.232587,0.496825,1.208793,0.488889,0.0025
34,1.192197,0.509524,1.156325,0.562963,0.0025
35,1.183611,0.50873,1.182827,0.47037,0.0025
36,1.187417,0.512698,1.146888,0.522222,0.0025
37,1.151643,0.527778,1.138411,0.562963,0.0025
38,1.149904,0.531746,1.145394,0.533333,0.0025
39,1.155467,0.524603,1.13173,0.551852,0.0025
40,1.149579,0.524603,1.116157,0.537037,0.0025
41,1.135799,0.528571,1.135246,0.518519,0.0025
42,1.117415,0.52619,1.129557,0.57037,0.0025
43,1.118681,0.530952,1.1338,0.544444,0.00125
44,1.103638,0.540476,1.106712,0.588889,0.00125
45,1.101281,0.542857,1.10141,0.596296,0.00125
46,1.083143,0.546825,1.091494,0.585185,0.00125
47,1.083928,0.553968,1.108338,0.574074,0.00125
48,1.081277,0.546032,1.08785,0.581481,0.00125
49,1.089041,0.559524,1.081755,0.559259,0.00125
50,1.096662,0.560317,1.07688,0.607407,0.00125
